split,image,family,img_w,img_h,w_px,h_px,area_px2,area_frac,short_side_px,long_side_px,aspect_ratio,coco_size,n_obj_in_image
train,2025_0519_103805_591_JPG,Belostomatidae,640,640,606.5,546.0,331149.0,0.808469,546.0,606.5,1.1108,large,1
train,2025_0519_103818_595_JPG,Belostomatidae,640,640,606.5,548.0,332362.0,0.811431,548.0,606.5,1.1068,large,1
train,2025_0519_103854_596_JPG,Belostomatidae,640,640,603.0,455.0,274365.0,0.669836,455.0,603.0,1.3253,large,1
train,2025_0519_103948_604_JPG,Belostomatidae,640,640,601.5,467.5,281201.25,0.686526,467.5,601.5,1.2866,large,1
train,2025_0519_103952_605_JPG,Belostomatidae,640,640,640.0,619.7,396610.37,0.968287,619.7,640.0,1.0328,large,1
train,2025_0519_104103_612_JPG,Belostomatidae,640,640,627.22,640.0,401422.22,0.980035,627.22,640.0,0.98,large,1
train,2025_0519_104121_617_JPG,Belostomatidae,640,640,608.0,533.5,324368.0,0.791914,533.5,608.0,1.1396,large,1
train,2025_0519_104124_618_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_104218_620_JPG,Belostomatidae,640,640,609.5,614.0,374233.0,0.913655,609.5,614.0,0.9927,large,1
train,2025_0519_104221_621_JPG,Belostomatidae,640,640,637.0,621.0,395577.0,0.965764,621.0,637.0,1.0258,large,1
train,2025_0519_104227_623_JPG,Belostomatidae,640,640,612.5,620.0,379750.0,0.927124,612.5,620.0,0.9879,large,1
train,2025_0519_104243_628_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_104544_639_JPG,Belostomatidae,640,640,593.5,590.5,350461.75,0.85562,590.5,593.5,1.0051,large,1
train,2025_0519_104551_641_JPG,Belostomatidae,640,640,581.0,616.5,358186.5,0.874479,581.0,616.5,0.9424,large,1
train,2025_0519_104554_642_JPG,Belostomatidae,640,640,601.5,586.0,352479.0,0.860544,586.0,601.5,1.0265,large,1
train,2025_0519_105227_688_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_105234_690_JPG,Belostomatidae,640,640,597.0,633.5,378199.5,0.923339,597.0,633.5,0.9424,large,1
train,2025_0519_105353_696_JPG,Belostomatidae,640,640,568.5,586.0,333141.0,0.813333,568.5,586.0,0.9701,large,1
train,2025_0519_105356_697_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_105455_702_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_105657_706_JPG,Belostomatidae,640,640,640.0,603.0,385920.0,0.942187,603.0,640.0,1.0614,large,1
train,2025_0519_105732_716_JPG,Belostomatidae,640,640,640.0,578.0,369920.0,0.903125,578.0,640.0,1.1073,large,1
train,2025_0519_105853_721_JPG,Belostomatidae,640,640,640.0,630.0,403200.0,0.984375,630.0,640.0,1.0159,large,1
train,2025_0519_105859_723_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_105903_724_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_105928_732_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_110032_736_JPG,Belostomatidae,640,640,621.0,548.0,340308.0,0.83083,548.0,621.0,1.1332,large,1
train,2025_0519_110133_739_JPG,Belostomatidae,640,640,639.0,556.0,355284.0,0.867393,556.0,639.0,1.1493,large,1
train,2025_0519_110250_745_JPG,Belostomatidae,640,640,639.0,586.0,374454.0,0.914194,586.0,639.0,1.0904,large,1
train,2025_0519_110256_747_JPG,Belostomatidae,640,640,639.79,593.0,379397.01,0.926262,593.0,639.79,1.0789,large,1
train,2025_0519_110309_751_JPG,Belostomatidae,640,640,579.74,639.21,370576.72,0.904728,579.74,639.21,0.907,large,1
train,2025_0519_110528_754_JPG,Belostomatidae,640,640,628.5,556.5,349760.25,0.853907,556.5,628.5,1.1294,large,1
train,2025_0519_111227_788_JPG,Belostomatidae,640,640,637.18,566.67,361067.41,0.881512,566.67,637.18,1.1244,large,1
train,2025_0519_111235_790_JPG,Belostomatidae,640,640,616.0,484.5,298452.0,0.728643,484.5,616.0,1.2714,large,1
train,2025_0519_111248_794_JPG,Belostomatidae,640,640,622.0,495.0,307890.0,0.751685,495.0,622.0,1.2566,large,1
train,2025_0519_111251_795_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_111407_803_JPG,Belostomatidae,640,640,619.0,487.0,301453.0,0.735969,487.0,619.0,1.271,large,1
train,2025_0519_111410_804_JPG,Belostomatidae,640,640,619.0,484.5,299905.5,0.732191,484.5,619.0,1.2776,large,1
train,2025_0519_111500_806_JPG,Belostomatidae,640,640,640.0,639.95,409566.81,0.999919,639.95,640.0,1.0001,large,1
train,2025_0519_111856_818_JPG,Belostomatidae,640,640,635.0,616.0,391160.0,0.95498,616.0,635.0,1.0308,large,1
train,2025_0519_111916_824_JPG,Belostomatidae,640,640,637.0,618.0,393666.0,0.961099,618.0,637.0,1.0307,large,1
train,2025_0519_112001_828_JPG,Belostomatidae,640,640,638.0,636.0,405768.0,0.990645,636.0,638.0,1.0031,large,1
train,2025_0519_112011_831_JPG,Belostomatidae,640,640,639.0,605.0,386595.0,0.943835,605.0,639.0,1.0562,large,1
train,2025_0519_112342_850_JPG,Belostomatidae,640,640,631.5,539.5,340694.25,0.831773,539.5,631.5,1.1705,large,1
train,2025_0519_112430_855_JPG,Belostomatidae,640,640,640.0,556.5,356160.0,0.869531,556.5,640.0,1.15,large,1
train,2025_0519_112438_856_JPG,Belostomatidae,640,640,640.0,569.5,364480.0,0.889844,569.5,640.0,1.1238,large,1
train,2025_0519_112623_861_JPG,Belostomatidae,640,640,640.0,472.0,302080.0,0.7375,472.0,640.0,1.3559,large,1
train,2025_0519_112626_862_JPG,Belostomatidae,640,640,638.0,478.5,305283.0,0.74532,478.5,638.0,1.3333,large,1
train,2025_0519_112705_866_JPG,Belostomatidae,640,640,637.0,465.5,296523.5,0.723934,465.5,637.0,1.3684,large,1
train,2025_0519_113729_890_JPG,Belostomatidae,640,640,635.0,622.0,394970.0,0.964282,622.0,635.0,1.0209,large,1
train,2025_0519_114020_899_JPG,Belostomatidae,640,640,637.0,506.0,322322.0,0.786919,506.0,637.0,1.2589,large,1
train,2025_0519_114033_903_JPG,Belostomatidae,640,640,637.0,514.5,327736.5,0.800138,514.5,637.0,1.2381,large,1
train,2025_0519_114150_909_JPG,Belostomatidae,640,640,640.0,516.5,330560.0,0.807031,516.5,640.0,1.2391,large,1
train,2025_0519_114157_911_JPG,Belostomatidae,640,640,635.0,503.5,319722.5,0.780573,503.5,635.0,1.2612,large,1
train,2025_0519_114335_918_JPG,Belostomatidae,640,640,620.5,563.0,349341.5,0.852885,563.0,620.5,1.1021,large,1
train,2025_0519_114342_920_JPG,Belostomatidae,640,640,640.0,546.0,349440.0,0.853125,546.0,640.0,1.1722,large,1
train,2025_0519_114348_922_JPG,Belostomatidae,640,640,636.5,552.5,351666.25,0.85856,552.5,636.5,1.152,large,1
train,2025_0519_114437_928_JPG,Belostomatidae,640,640,617.0,590.0,364030.0,0.888745,590.0,617.0,1.0458,large,1
train,2025_0519_114510_934_JPG,Belostomatidae,640,640,617.5,520.5,321408.75,0.784689,520.5,617.5,1.1864,large,1
train,2025_0519_114514_935_JPG,Belostomatidae,640,640,639.64,632.74,404729.1,0.988108,632.74,639.64,1.0109,large,1
train,2025_0519_114616_941_JPG,Belostomatidae,640,640,640.0,618.0,395520.0,0.965625,618.0,640.0,1.0356,large,1
train,2025_0519_114649_944_JPG,Belostomatidae,640,640,595.0,535.5,318622.5,0.777887,535.5,595.0,1.1111,large,1
train,2025_0519_114701_948_JPG,Belostomatidae,640,640,601.5,537.5,323306.25,0.789322,537.5,601.5,1.1191,large,1
train,2025_0519_114751_950_JPG,Belostomatidae,640,640,639.0,563.0,359757.0,0.878313,563.0,639.0,1.135,large,1
train,2025_0519_114755_951_JPG,Belostomatidae,640,640,633.5,588.5,372814.75,0.910192,588.5,633.5,1.0765,large,1
train,2025_0519_114852_958_JPG,Belostomatidae,640,640,640.0,632.0,404480.0,0.9875,632.0,640.0,1.0127,large,1
train,2025_0519_115110_965_JPG,Belostomatidae,640,640,631.5,618.0,390267.0,0.9528,618.0,631.5,1.0218,large,1
train,2025_0521_095419_154_JPG,Planorbidae,640,640,466.5,609.5,284331.75,0.694169,466.5,609.5,0.7654,large,1
train,2025_0521_095513_158_JPG,Planorbidae,640,640,452.5,601.0,271952.5,0.663947,452.5,601.0,0.7529,large,1
train,2025_0521_095522_161_JPG,Planorbidae,640,640,635.3,501.36,318515.89,0.777627,501.36,635.3,1.2671,large,1
train,2025_0521_095551_164_JPG,Planorbidae,640,640,409.5,590.5,241809.75,0.590356,409.5,590.5,0.6935,large,1
train,2025_0521_095558_166_JPG,Planorbidae,640,640,422.0,584.0,246448.0,0.60168,422.0,584.0,0.7226,large,1
train,2025_0521_100936_188_JPG,Planorbidae,640,640,428.5,614.0,263099.0,0.642332,428.5,614.0,0.6979,large,1
train,2025_0521_100949_192_JPG,Planorbidae,640,640,454.0,625.0,283750.0,0.692749,454.0,625.0,0.7264,large,1
train,2025_0521_110641_215_JPG,Planorbidae,640,640,476.0,580.0,276080.0,0.674023,476.0,580.0,0.8207,large,1
train,2025_0521_110805_228_JPG,Planorbidae,640,640,640.0,618.0,395520.0,0.965625,618.0,640.0,1.0356,large,1
train,2025_0521_111001_243_JPG,Planorbidae,640,640,513.48,636.27,326711.15,0.797635,513.48,636.27,0.807,large,1
train,2025_0521_111107_256_JPG,Planorbidae,640,640,473.0,640.0,302720.0,0.739062,473.0,640.0,0.7391,large,1
train,2025_0521_111114_258_JPG,Planorbidae,640,640,639.27,633.0,404660.49,0.987941,633.0,639.27,1.0099,large,1
train,2025_0521_111117_259_JPG,Planorbidae,640,640,468.5,580.0,271730.0,0.663403,468.5,580.0,0.8078,large,1
train,2025_0521_111215_265_JPG,Planorbidae,640,640,481.0,558.5,268638.5,0.655856,481.0,558.5,0.8612,large,1
train,2025_0521_111228_269_JPG,Planorbidae,640,640,479.5,537.5,257731.25,0.629227,479.5,537.5,0.8921,large,1
train,2025_0521_111304_272_JPG,Planorbidae,640,640,451.0,631.5,284806.5,0.695328,451.0,631.5,0.7142,large,1
train,2025_0521_111308_273_JPG,Planorbidae,640,640,451.0,623.0,280973.0,0.685969,451.0,623.0,0.7239,large,1
train,2025_0521_111314_275_JPG,Planorbidae,640,640,451.0,635.0,286385.0,0.699182,451.0,635.0,0.7102,large,1
train,2025_0521_111401_281_JPG,Planorbidae,640,640,411.0,635.0,260985.0,0.63717,411.0,635.0,0.6472,large,1
train,2025_0521_111404_282_JPG,Planorbidae,640,640,398.5,625.0,249062.5,0.608063,398.5,625.0,0.6376,large,1
train,2025_0521_111414_285_JPG,Planorbidae,640,640,405.0,628.0,254340.0,0.620947,405.0,628.0,0.6449,large,1
train,2025_0521_111421_287_JPG,Planorbidae,640,640,406.5,636.0,258534.0,0.631187,406.5,636.0,0.6392,large,1
train,2025_0521_111424_288_JPG,Planorbidae,640,640,390.5,616.0,240548.0,0.587275,390.5,616.0,0.6339,large,1
train,2025_0521_111431_290_JPG,Planorbidae,640,640,389.0,611.5,237873.5,0.580746,389.0,611.5,0.6361,large,1
train,2025_0521_111650_314_JPG,Planorbidae,640,640,406.5,640.0,260160.0,0.635156,406.5,640.0,0.6352,large,1
train,2025_0521_111657_316_JPG,Planorbidae,640,640,638.76,510.48,326072.88,0.796076,510.48,638.76,1.2513,large,1
train,2025_0521_111700_317_JPG,Planorbidae,640,640,395.0,622.0,245690.0,0.599829,395.0,622.0,0.635,large,1
train,2025_0521_113309_354_JPG,Planorbidae,640,640,433.5,633.5,274622.25,0.670464,433.5,633.5,0.6843,large,1
train,2025_0521_113315_356_JPG,Planorbidae,640,640,425.5,636.0,270618.0,0.660688,425.5,636.0,0.669,large,1
train,2025_0521_113325_359_JPG,Planorbidae,640,640,594.0,637.96,378945.6,0.92516,594.0,637.96,0.9311,large,1
train,2025_0521_113328_360_JPG,Planorbidae,640,640,593.74,638.87,379321.17,0.926077,593.74,638.87,0.9294,large,1
train,2025_0521_113338_363_JPG,Planorbidae,640,640,438.0,633.0,277254.0,0.67689,438.0,633.0,0.6919,large,1
train,2025_0521_113407_364_JPG,Planorbidae,640,640,639.88,560.74,358807.62,0.875995,560.74,639.88,1.1411,large,1
train,2025_0521_113431_369_JPG,Planorbidae,640,640,468.5,578.0,270793.0,0.661116,468.5,578.0,0.8106,large,1
train,2025_0521_113437_371_JPG,Planorbidae,640,640,465.0,578.0,268770.0,0.656177,465.0,578.0,0.8045,large,1
train,2025_0521_113444_373_JPG,Planorbidae,640,640,463.5,542.0,251217.0,0.613323,463.5,542.0,0.8552,large,1
train,2025_0521_113451_375_JPG,Planorbidae,640,640,449.0,525.0,235725.0,0.5755,449.0,525.0,0.8552,large,1
train,2025_0521_113530_383_JPG,Planorbidae,640,640,476.0,578.0,275128.0,0.671699,476.0,578.0,0.8235,large,1
train,2025_0521_113537_385_JPG,Planorbidae,640,640,468.5,625.0,292812.5,0.714874,468.5,625.0,0.7496,large,1
train,2025_0521_113540_386_JPG,Planorbidae,640,640,455.5,552.5,251663.75,0.614413,455.5,552.5,0.8244,large,1
train,2025_0521_113544_387_JPG,Planorbidae,640,640,489.01,598.47,292658.26,0.714498,489.01,598.47,0.8171,large,1
train,2025_0521_113612_392_JPG,Planorbidae,640,640,435.0,609.0,264915.0,0.646765,435.0,609.0,0.7143,large,1
train,2025_0521_113616_393_JPG,Planorbidae,640,640,436.5,599.0,261463.5,0.638339,436.5,599.0,0.7287,large,1
train,2025_0521_113619_394_JPG,Planorbidae,640,640,605.67,637.69,386226.9,0.942937,605.67,637.69,0.9498,large,1
train,2025_0521_113622_395_JPG,Planorbidae,640,640,435.0,605.5,263392.5,0.643048,435.0,605.5,0.7184,large,1
train,2025_0521_113626_396_JPG,Planorbidae,640,640,430.0,578.0,248540.0,0.606787,430.0,578.0,0.7439,large,1
train,2025_0521_113715_405_JPG,Planorbidae,640,640,387.5,607.5,235406.25,0.574722,387.5,607.5,0.6379,large,1
train,2025_0521_114207_409_JPG,Planorbidae,640,640,270.0,364.0,98280.0,0.239941,270.0,364.0,0.7418,large,3
train,2025_0521_114207_409_JPG,Planorbidae,640,640,251.0,374.5,93999.5,0.229491,251.0,374.5,0.6702,large,3
train,2025_0521_114207_409_JPG,Planorbidae,640,640,189.0,293.0,55377.0,0.135198,189.0,293.0,0.6451,large,3
train,2025_0521_114443_415_JPG,Planorbidae,640,640,323.82,415.18,134443.79,0.328232,323.82,415.18,0.78,large,3
train,2025_0521_114443_415_JPG,Planorbidae,640,640,290.83,300.65,87438.47,0.213473,290.83,300.65,0.9673,large,3
train,2025_0521_114443_415_JPG,Planorbidae,640,640,310.85,416.13,129353.51,0.315804,310.85,416.13,0.747,large,3
train,2025_0521_114457_419_JPG,Planorbidae,640,640,200.0,226.5,45300.0,0.110596,200.0,226.5,0.883,large,3
train,2025_0521_114457_419_JPG,Planorbidae,640,640,271.5,332.5,90273.75,0.220395,271.5,332.5,0.8165,large,3
train,2025_0521_114457_419_JPG,Planorbidae,640,640,246.0,372.5,91635.0,0.223718,246.0,372.5,0.6604,large,3
train,2025_0521_120923_434_JPG,Planorbidae,640,640,289.0,343.0,99127.0,0.242009,289.0,343.0,0.8426,large,3
train,2025_0521_120923_434_JPG,Planorbidae,640,640,289.0,319.0,92191.0,0.225076,289.0,319.0,0.906,large,3
train,2025_0521_120923_434_JPG,Planorbidae,640,640,274.5,412.5,113231.25,0.276443,274.5,412.5,0.6655,large,3
train,2025_0521_120934_437_JPG,Planorbidae,640,640,298.5,319.5,95370.75,0.232839,298.5,319.5,0.9343,large,3
train,2025_0521_120934_437_JPG,Planorbidae,640,640,271.5,415.0,112672.5,0.275079,271.5,415.0,0.6542,large,3
train,2025_0521_120934_437_JPG,Planorbidae,640,640,271.5,319.5,86744.25,0.211778,271.5,319.5,0.8498,large,3
train,2025_0521_120937_438_JPG,Planorbidae,640,640,338.1,339.11,114652.21,0.279913,338.1,339.11,0.997,large,3
train,2025_0521_120937_438_JPG,Planorbidae,640,640,312.16,309.01,96458.38,0.235494,309.01,312.16,1.0102,large,3
train,2025_0521_120937_438_JPG,Planorbidae,640,640,437.8,303.36,132809.06,0.324241,303.36,437.8,1.4432,large,3
train,2025_0521_121112_441_JPG,Planorbidae,640,640,279.5,312.0,87204.0,0.2129,279.5,312.0,0.8958,large,3
train,2025_0521_121112_441_JPG,Planorbidae,640,640,270.0,383.0,103410.0,0.252466,270.0,383.0,0.705,large,3
train,2025_0521_121112_441_JPG,Planorbidae,640,640,260.5,349.0,90914.5,0.221959,260.5,349.0,0.7464,large,3
train,2025_0521_121127_445_JPG,Planorbidae,640,640,274.5,383.0,105133.5,0.256674,274.5,383.0,0.7167,large,3
train,2025_0521_121127_445_JPG,Planorbidae,640,640,282.5,310.0,87575.0,0.213806,282.5,310.0,0.9113,large,3
train,2025_0521_121127_445_JPG,Planorbidae,640,640,254.0,343.0,87122.0,0.2127,254.0,343.0,0.7405,large,3
train,2025_0521_121135_447_JPG,Planorbidae,640,640,350.32,330.9,115921.7,0.283012,330.9,350.32,1.0587,large,3
train,2025_0521_121135_447_JPG,Planorbidae,640,640,358.27,339.04,121465.67,0.296547,339.04,358.27,1.0567,large,3
train,2025_0521_121135_447_JPG,Planorbidae,640,640,310.97,413.79,128674.93,0.314148,310.97,413.79,0.7515,large,3
train,2025_0521_121139_448_JPG,Planorbidae,640,640,258.5,302.5,78196.25,0.190909,258.5,302.5,0.8545,large,3
train,2025_0521_121139_448_JPG,Planorbidae,640,640,243.0,334.5,81283.5,0.198446,243.0,334.5,0.7265,large,3
train,2025_0521_121139_448_JPG,Planorbidae,640,640,257.0,364.0,93548.0,0.228389,257.0,364.0,0.706,large,3
train,2025_0521_121253_453_JPG,Planorbidae,640,640,282.5,314.0,88705.0,0.216565,282.5,314.0,0.8997,large,3
train,2025_0521_121253_453_JPG,Planorbidae,640,640,309.5,360.0,111420.0,0.272021,309.5,360.0,0.8597,large,3
train,2025_0521_121253_453_JPG,Planorbidae,640,640,300.0,338.5,101550.0,0.247925,300.0,338.5,0.8863,large,3
train,2025_0521_121353_458_JPG,Planorbidae,640,640,278.0,324.5,90211.0,0.220242,278.0,324.5,0.8567,large,3
train,2025_0521_121353_458_JPG,Planorbidae,640,640,297.0,349.0,103653.0,0.253059,297.0,349.0,0.851,large,3
train,2025_0521_121353_458_JPG,Planorbidae,640,640,289.0,345.0,99705.0,0.24342,289.0,345.0,0.8377,large,3
train,2025_0521_121357_459_JPG,Planorbidae,640,640,332.56,409.49,136177.8,0.332465,332.56,409.49,0.8121,large,3
train,2025_0521_121357_459_JPG,Planorbidae,640,640,312.52,329.97,103123.01,0.251765,312.52,329.97,0.9471,large,3
train,2025_0521_121357_459_JPG,Planorbidae,640,640,321.89,356.59,114783.19,0.280232,321.89,356.59,0.9027,large,3
train,2025_0521_121400_460_JPG,Planorbidae,640,640,273.0,307.0,83811.0,0.204617,273.0,307.0,0.8893,large,3
train,2025_0521_121400_460_JPG,Planorbidae,640,640,279.5,330.0,92235.0,0.225183,279.5,330.0,0.847,large,3
train,2025_0521_121400_460_JPG,Planorbidae,640,640,289.0,345.0,99705.0,0.24342,289.0,345.0,0.8377,large,3
train,2025_0521_121407_462_JPG,Planorbidae,640,640,266.5,302.5,80616.25,0.196817,266.5,302.5,0.881,large,3
train,2025_0521_121407_462_JPG,Planorbidae,640,640,278.0,319.5,88821.0,0.216848,278.0,319.5,0.8701,large,3
train,2025_0521_121407_462_JPG,Planorbidae,640,640,285.5,340.5,97212.75,0.237336,285.5,340.5,0.8385,large,3
train,2025_0521_121609_468_JPG,Planorbidae,640,640,262.0,290.0,75980.0,0.185498,262.0,290.0,0.9034,large,3
train,2025_0521_121609_468_JPG,Planorbidae,640,640,255.5,321.5,82143.25,0.200545,255.5,321.5,0.7947,large,3
train,2025_0521_121609_468_JPG,Planorbidae,640,640,279.5,332.5,92933.75,0.226889,279.5,332.5,0.8406,large,3
train,2025_0521_121626_473_JPG,Planorbidae,640,640,260.5,296.5,77238.25,0.18857,260.5,296.5,0.8786,large,3
train,2025_0521_121626_473_JPG,Planorbidae,640,640,257.0,317.5,81597.5,0.199213,257.0,317.5,0.8094,large,3
train,2025_0521_121626_473_JPG,Planorbidae,640,640,284.0,328.0,93152.0,0.227422,284.0,328.0,0.8659,large,3
train,2025_0521_121636_476_JPG,Planorbidae,640,640,258.5,294.0,75999.0,0.185544,258.5,294.0,0.8793,large,3
train,2025_0521_121636_476_JPG,Planorbidae,640,640,252.5,317.5,80168.75,0.195724,252.5,317.5,0.7953,large,3
train,2025_0521_121636_476_JPG,Planorbidae,640,640,289.0,328.0,94792.0,0.231426,289.0,328.0,0.8811,large,3
train,2025_0521_122215_478_JPG,Planorbidae,640,640,458.5,638.0,292523.0,0.714167,458.5,638.0,0.7187,large,1
train,2025_0521_122222_480_JPG,Planorbidae,640,640,460.5,640.0,294720.0,0.719531,460.5,640.0,0.7195,large,1
train,2025_0521_122240_483_JPG,Planorbidae,640,640,447.5,640.0,286400.0,0.699219,447.5,640.0,0.6992,large,1
train,2025_0521_122259_488_JPG,Planorbidae,640,640,435.0,611.5,266002.5,0.64942,435.0,611.5,0.7114,large,1
train,2025_0521_122307_490_JPG,Planorbidae,640,640,430.0,616.0,264880.0,0.64668,430.0,616.0,0.6981,large,1
train,2025_0521_122356_498_JPG,Planorbidae,640,640,390.5,611.5,238790.75,0.582985,390.5,611.5,0.6386,large,1
train,2025_0521_122410_501_JPG,Planorbidae,640,640,512.44,639.05,327478.57,0.799508,512.44,639.05,0.8019,large,1
train,2025_0521_122512_509_JPG,Planorbidae,640,640,631.17,570.41,360024.25,0.878965,570.41,631.17,1.1065,large,1
train,2025_0521_122743_515_JPG,Planorbidae,640,640,468.5,592.5,277586.25,0.677701,468.5,592.5,0.7907,large,1
train,2025_0521_122753_518_JPG,Planorbidae,640,640,468.5,531.0,248773.5,0.607357,468.5,531.0,0.8823,large,1
train,2025_0521_122800_520_JPG,Planorbidae,640,640,462.0,544.0,251328.0,0.613594,462.0,544.0,0.8493,large,1
train,2025_0521_122821_523_JPG,Planorbidae,640,640,528.04,637.67,336711.62,0.82205,528.04,637.67,0.8281,large,1
train,2025_0521_122824_524_JPG,Planorbidae,640,640,451.0,580.0,261580.0,0.638623,451.0,580.0,0.7776,large,1
train,2025_0521_122830_526_JPG,Planorbidae,640,640,446.0,580.0,258680.0,0.631543,446.0,580.0,0.769,large,1
train,2025_0521_122851_532_JPG,Planorbidae,640,640,638.69,533.0,340421.18,0.831106,533.0,638.69,1.1983,large,1
train,2025_0521_122935_539_JPG,Planorbidae,640,640,409.5,626.5,256551.75,0.626347,409.5,626.5,0.6536,large,1
train,2025_0521_123942_634_JPG,Planorbidae,640,640,451.0,640.0,288640.0,0.704688,451.0,640.0,0.7047,large,1
train,2025_0521_123959_639_JPG,Planorbidae,640,640,436.5,628.5,274340.25,0.669776,436.5,628.5,0.6945,large,1
train,2025_0521_124557_677_JPG,Planorbidae,640,640,255.5,349.0,89169.5,0.217699,255.5,349.0,0.7321,large,2
train,2025_0521_124557_677_JPG,Planorbidae,640,640,309.5,381.0,117919.5,0.287889,309.5,381.0,0.8123,large,2
train,2025_0521_124604_678_JPG,Planorbidae,640,640,255.5,355.5,90830.25,0.221754,255.5,355.5,0.7187,large,2
train,2025_0521_124604_678_JPG,Planorbidae,640,640,308.0,374.5,115346.0,0.281606,308.0,374.5,0.8224,large,2
train,2025_0521_124611_680_JPG,Planorbidae,640,640,338.96,380.53,128983.89,0.314902,338.96,380.53,0.8907,large,2
train,2025_0521_124611_680_JPG,Planorbidae,640,640,388.71,407.6,158438.65,0.386813,388.71,407.6,0.9537,large,2
train,2025_0521_124617_682_JPG,Planorbidae,640,640,298.5,372.5,111191.25,0.271463,298.5,372.5,0.8013,large,2
train,2025_0521_124617_682_JPG,Planorbidae,640,640,247.5,355.5,87986.25,0.21481,247.5,355.5,0.6962,large,2
train,2025_0521_124859_693_JPG,Planorbidae,640,640,224.0,298.5,66864.0,0.163242,224.0,298.5,0.7504,large,2
train,2025_0521_124859_693_JPG,Planorbidae,640,640,284.0,434.0,123256.0,0.300918,284.0,434.0,0.6544,large,2
train,2025_0521_124903_694_JPG,Planorbidae,640,640,220.5,285.5,62952.75,0.153693,220.5,285.5,0.7723,large,2
